Ano de exibição	Título da obra	Gênero	País(es) produtor(es) da obra	Nacionalidade da obra	Empresa distribuidora	Origem da empresa distribuidora	Público no ano de exibição	Renda (R$) no ano de exibição
2017	Más Notícias para o Sr. Mars	Ficção	Bélgica, França	Estrangeira	Imovision	Distribuição Nacional	5811	88368,78
2017	Na mira do atirador	Ficção	Estados Unidos	Estrangeira	H2O Films	Distribuição Nacional	33365	561748,54
2017	Na Praia à Noite Sozinha	Ficção	Coréia do Sul	Estrangeira	Zeta Filmes	Distribuição Nacional	4328	48679,68
2017	Na Ventania	Ficção	Estônia	Estrangeira	Zeta Filmes	Distribuição Nacional	39	346
2017	Na Vertical	Ficção	França	Estrangeira	Zeta Filmes	Distribuição Nacional	3686	41349,77
2017	Nas Estradas do Nepal	Ficção	Alemanha, França, Nepal, Suíça	Estrangeira	Esfera Produções	Distribuição Nacional	2159	24522,58
2017	Nascida de Novo	Ficção	Brasil	Brasileira	Maria da Graça Hughes	Distribuição Nacional	1389	17148
2017	Negação	Ficção	Estados Unidos, Reino Unido	Estrangeira	Sony	Distribuição Internacional	17580	300941,8
2017	Neruda (2016)	Ficção	Argentina, Chile, Espanha, Estados Unidos, França	Estrangeira	Imovision	Distribuição Nacional	14621	209127,36
2017	Neve Negra	Ficção	Argentina, Espanha	Estrangeira	Paris	Distribuição Nacional	88155	1611137,28
2017	Nick Cave - 20.000 Dias na Terra	Documentário	Reino Unido	Estrangeira	Zeta Filmes	Distribuição Nacional	36	324
